API,Example,Bug
"
 torch. lu ( * ,  ** ) ¶",">>> A=torch.randn(2,3,3)
>>> A_LU,pivots=torch.lu(A)
>>> A_LU
tensor([[[ 1.3506,  2.5558, -0.0816],
         [ 0.1684,  1.1551,  0.1940],
         [ 0.1193,  0.6189, -0.5497]],        [[ 0.4526,  1.2526, -0.3285],
         [-0.7988,  0.7175, -0.9701],
         [ 0.2634, -0.9255, -0.3459]]])
>>> pivots
tensor([[ 3,  3,  3],
        [ 3,  3,  3]], dtype=torch.int32)
>>> A_LU,pivots,info=torch.lu(A,get_infos=True)
>>> ifinfo.nonzero().size(0)==0:
... print('LU factorization succeeded for all samples!')
LU factorization succeeded for all samples!
","  File ""example.py"", line 7
    ifinfo.nonzero().size(0)==0:
                               ^
SyntaxError: invalid syntax
"
"
 torch. lu_solve ( b ,  LU_data ,  LU_pivots ,  * ,  out )   → ¶",">>> A=torch.randn(2,3,3)
>>> b=torch.randn(2,3,1)
>>> LU,pivots=torch.linalg.lu_factor(A)
>>> x=torch.lu_solve(b,LU,pivots)
>>> torch.dist(A@x,b)
tensor(1.00000e-07 *
       2.8312)
","Traceback (most recent call last):
  File ""example.py"", line 4, in <module>
    LU,pivots=torch.linalg.lu_factor(A)
AttributeError: module 'torch.linalg' has no attribute 'lu_factor'
"
"
 torch.linalg. matrix_exp ( A )   → ¶",">>> A=torch.empty(2,2,2)
>>> A[0,:,:]=torch.eye(2,2)
>>> A[1,:,:]=2*torch.eye(2,2)
>>> A
tensor([[[1., 0.],
         [0., 1.]],        [[2., 0.],
         [0., 2.]]])
>>> torch.linalg.matrix_exp(A)
tensor([[[2.7183, 0.0000],
         [0.0000, 2.7183]],         [[7.3891, 0.0000],
          [0.0000, 7.3891]]])>>> importmath
>>> A=torch.tensor([[0,math.pi/3],[-math.pi/3,0]])# A is skew-symmetric
>>> torch.linalg.matrix_exp(A)# matrix_exp(A) = [[cos(pi/3), sin(pi/3)], [-sin(pi/3), cos(pi/3)]]
tensor([[ 0.5000,  0.8660],
        [-0.8660,  0.5000]])
","  File ""example.py"", line 7
    [0.0000, 7.3891]]])importmath
    ^
IndentationError: unexpected indent
"
"
 torch. qr ( input ,  some ,  * ,  out ) ¶",">>> a=torch.tensor([[12.,-51,4],[6,167,-68],[-4,24,-41]])
>>> q,r=torch.qr(a)
>>> q
tensor([[-0.8571,  0.3943,  0.3314],
        [-0.4286, -0.9029, -0.0343],
        [ 0.2857, -0.1714,  0.9429]])
>>> r
tensor([[ -14.0000,  -21.0000,   14.0000],
        [   0.0000, -175.0000,   70.0000],
        [   0.0000,    0.0000,  -35.0000]])
>>> torch.mm(q,r).round()
tensor([[  12.,  -51.,    4.],
        [   6.,  167.,  -68.],
        [  -4.,   24.,  -41.]])
>>> torch.mm(q.t(),q).round()
tensor([[ 1.,  0.,  0.],
        [ 0.,  1., -0.],
        [ 0., -0.,  1.]])
>>> a=torch.randn(3,4,5)
>>> q,r=torch.qr(a,some=False)
>>> torch.allclose(torch.matmul(q,r),a)
True
>>> torch.allclose(torch.matmul(q.mT,q),torch.eye(5))
True
","Traceback (most recent call last):
  File ""example.py"", line 11, in <module>
    torch.allclose(torch.matmul(q.mT,q),torch.eye(5))
AttributeError: 'Tensor' object has no attribute 'mT'
"
"
 torch. svd ( input ,  some ,  compute_uv ,  * ,  out ) ¶",">>> a=torch.randn(5,3)
>>> a
tensor([[ 0.2364, -0.7752,  0.6372],
        [ 1.7201,  0.7394, -0.0504],
        [-0.3371, -1.0584,  0.5296],
        [ 0.3550, -0.4022,  1.5569],
        [ 0.2445, -0.0158,  1.1414]])
>>> u,s,v=torch.svd(a)
>>> u
tensor([[ 0.4027,  0.0287,  0.5434],
        [-0.1946,  0.8833,  0.3679],
        [ 0.4296, -0.2890,  0.5261],
        [ 0.6604,  0.2717, -0.2618],
        [ 0.4234,  0.2481, -0.4733]])
>>> s
tensor([2.3289, 2.0315, 0.7806])
>>> v
tensor([[-0.0199,  0.8766,  0.4809],
        [-0.5080,  0.4054, -0.7600],
        [ 0.8611,  0.2594, -0.4373]])
>>> torch.dist(a,torch.mm(torch.mm(u,torch.diag(s)),v.t()))
tensor(8.6531e-07)
>>> a_big=torch.randn(7,5,3)
>>> u,s,v=torch.svd(a_big)
>>> torch.dist(a_big,torch.matmul(torch.matmul(u,torch.diag_embed(s)),v.mT))
tensor(2.6503e-06)
","Traceback (most recent call last):
  File ""example.py"", line 11, in <module>
    torch.dist(a_big,torch.matmul(torch.matmul(u,torch.diag_embed(s)),v.mT))
AttributeError: 'Tensor' object has no attribute 'mT'
"
"
 torch. use_deterministic_algorithms ( mode ,  * ,  warn_only ) [source] ¶",">>> torch.use_deterministic_algorithms(True)# Forward mode nondeterministic error
>>> torch.randn(10,device='cuda').kthvalue(0)
...
RuntimeError: kthvalue CUDA does not have a deterministic implementation...# Backward mode nondeterministic error
>>> torch.nn.AvgPool3d(1)(torch.randn(3,4,5,6,requires_grad=True).cuda()).sum().backward()
...
RuntimeError: avg_pool3d_backward_cuda does not have a deterministic implementation...
","[W Context.cpp:70] Warning: torch.use_deterministic_algorithms is in beta, and its design and functionality may change in the future. (function operator())
Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    torch.randn(10,device='cuda').kthvalue(0)
RuntimeError: kthvalue CUDA does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True)'. You can turn off determinism just for this operation if that's acceptable for your application. You can also file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation.
"
"
 class torch.nn. MaxUnpool1d ( kernel_size ,  stride ,  padding ) [source] ¶",">>> pool=nn.MaxPool1d(2,stride=2,return_indices=True)
>>> unpool=nn.MaxUnpool1d(2,stride=2)
>>> input=torch.tensor([[[1.,2,3,4,5,6,7,8]]])
>>> output,indices=pool(input)
>>> unpool(output,indices)
tensor([[[ 0.,  2.,  0.,  4.,  0.,  6.,  0., 8.]]])>>> # Example showcasing the use of output_size
>>> input=torch.tensor([[[1.,2,3,4,5,6,7,8,9]]])
>>> output,indices=pool(input)
>>> unpool(output,indices,output_size=input.size())
tensor([[[ 0.,  2.,  0.,  4.,  0.,  6.,  0., 8.,  0.]]])>>> unpool(output,indices)
tensor([[[ 0.,  2.,  0.,  4.,  0.,  6.,  0., 8.]]])
","  File ""example.py"", line 11
    tensor([[[ 0.,  2.,  0.,  4.,  0.,  6.,  0., 8.,  0.]]])unpool(output,indices)
                                                            ^
SyntaxError: invalid syntax
"
"
 class torch.nn. MaxUnpool2d ( kernel_size ,  stride ,  padding ) [source] ¶",">>> pool=nn.MaxPool2d(2,stride=2,return_indices=True)
>>> unpool=nn.MaxUnpool2d(2,stride=2)
>>> input=torch.tensor([[[[1.,2.,3.,4.],
                            [ 5.,  6.,  7.,  8.],
                            [ 9., 10., 11., 12.],
                            [13., 14., 15., 16.]]]])
>>> output,indices=pool(input)
>>> unpool(output,indices)
tensor([[[[  0.,   0.,   0.,   0.],
          [  0.,   6.,   0.,   8.],
          [  0.,   0.,   0.,   0.],
          [  0.,  14.,   0.,  16.]]]])
>>> # Now using output_size to resolve an ambiguous size for the inverse
>>> input=torch.torch.tensor([[[[1.,2.,3.,4.,5.],
                                  [ 6.,  7.,  8., 9., 10.],
                                  [11., 12., 13., 14., 15.],
                                  [16., 17., 18., 19., 20.]]]])
>>> output,indices=pool(input)
>>> # This call will not work without specifying output_size
>>> unpool(output,indices,output_size=input.size())
tensor([[[[ 0.,  0.,  0.,  0.,  0.],
          [ 0.,  7.,  0.,  9.,  0.],
          [ 0.,  0.,  0.,  0.,  0.],
          [ 0., 17.,  0., 19.,  0.]]]])
","  File ""example.py"", line 5
    output,indices=pool(input)
                  ^
SyntaxError: invalid syntax
"
"
 class torch.nn. MaxUnpool3d ( kernel_size ,  stride ,  padding ) [source] ¶",">>> # pool of square window of size=3, stride=2
>>> pool=nn.MaxPool3d(3,stride=2,return_indices=True)
>>> unpool=nn.MaxUnpool3d(3,stride=2)
>>> output,indices=pool(torch.randn(20,16,51,33,15))
>>> unpooled_output=unpool(output,indices)
>>> unpooled_output.size()
torch.Size([20, 16, 51, 33, 15])
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    pool=nn.MaxPool3d(3,stride=2,return_indices=True)
NameError: name 'nn' is not defined
"
"
 class torch.nn. DataParallel ( module ,  device_ids ,  output_device ,  dim ) [source] ¶",">>> net=torch.nn.DataParallel(model,device_ids=[0,1,2])
>>> output=net(input_var)# input_var can be on any device, including CPU
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    net=torch.nn.DataParallel(model,device_ids=[0,1,2])
NameError: name 'model' is not defined
"
"
 class torch.nn.parallel. DistributedDataParallel ( module ,  device_ids ,  output_device ,  dim ,  broadcast_buffers ,  process_group ,  bucket_cap_mb ,  find_unused_parameters ,  check_reduction ,  gradient_as_bucket_view ,  static_graph ) [source] ¶",">>> torch.distributed.init_process_group(backend='nccl',world_size=4,init_method='...')
>>> net=torch.nn.parallel.DistributedDataParallel(model)
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    torch.distributed.init_process_group(backend='nccl',world_size=4,init_method='...')
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py"", line 497, in init_process_group
    rendezvous_iterator = rendezvous(
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/distributed/rendezvous.py"", line 82, in rendezvous
    raise RuntimeError(""No rendezvous handler for {}://"".format(result.scheme))
RuntimeError: No rendezvous handler for ://
"
"
 torch.nn.utils. weight_norm ( module ,  name ,  dim ) [source] ¶",">>> m=weight_norm(nn.Linear(20,40),name='weight')
>>> m
Linear(in_features=20, out_features=40, bias=True)
>>> m.weight_g.size()
torch.Size([40, 1])
>>> m.weight_v.size()
torch.Size([40, 20])
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    m=weight_norm(nn.Linear(20,40),name='weight')
NameError: name 'weight_norm' is not defined
"
"
 torch.nn.utils. spectral_norm ( module ,  name ,  n_power_iterations ,  eps ,  dim ) [source] ¶",">>> m=spectral_norm(nn.Linear(20,40))
>>> m
Linear(in_features=20, out_features=40, bias=True)
>>> m.weight_u.size()
torch.Size([40])
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    m=spectral_norm(nn.Linear(20,40))
NameError: name 'spectral_norm' is not defined
"
"
 torch.nn.utils. skip_init ( module_cls ,  * ,  ** ) [source] ¶",">>> importtorch
>>> m=torch.nn.utils.skip_init(torch.nn.Linear,5,1)
>>> m.weight
Parameter containing:
tensor([[0.0000e+00, 1.5846e+29, 7.8307e+00, 2.5250e-29, 1.1210e-44]],
       requires_grad=True)
>>> m2=torch.nn.utils.skip_init(torch.nn.Linear,in_features=6,out_features=1)
>>> m2.weight
Parameter containing:
tensor([[-1.4677e+24,  4.5915e-41,  1.4013e-45,  0.0000e+00, -1.4677e+24,
          4.5915e-41]], requires_grad=True)
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    importtorch
NameError: name 'importtorch' is not defined
"
"
 torch.nn.utils.parametrizations. orthogonal ( module ,  name ,  orthogonal_map ,  * ,  use_trivialization ) [source] ¶",">>> orth_linear=orthogonal(nn.Linear(20,40))
>>> orth_linear
ParametrizedLinear(
in_features=20, out_features=40, bias=True
(parametrizations): ModuleDict(
    (weight): ParametrizationList(
    (0): _Orthogonal()
    )
)
)
>>> Q=orth_linear.weight
>>> torch.dist(Q.T@Q,torch.eye(20))
tensor(4.9332e-07)
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    orth_linear=orthogonal(nn.Linear(20,40))
NameError: name 'orthogonal' is not defined
"
"
 torch.nn.utils.parametrizations. spectral_norm ( module ,  name ,  n_power_iterations ,  eps ,  dim ) [source] ¶",">>> snm=spectral_norm(nn.Linear(20,40))
>>> snm
ParametrizedLinear(
  in_features=20, out_features=40, bias=True
  (parametrizations): ModuleDict(
    (weight): ParametrizationList(
      (0): _SpectralNorm()
    )
  )
)
>>> torch.linalg.matrix_norm(snm.weight,2)
tensor(1.0081, grad_fn=<AmaxBackward0>)
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    snm=spectral_norm(nn.Linear(20,40))
NameError: name 'spectral_norm' is not defined
"
"
 torch.nn.functional. cosine_similarity ( x1 ,  x2 ,  dim ,  eps )   → ¶",">>> input1=torch.randn(100,128)
>>> input2=torch.randn(100,128)
>>> output=F.cosine_similarity(input1,input2)
>>> print(output)
","Traceback (most recent call last):
  File ""example.py"", line 4, in <module>
    output=F.cosine_similarity(input1,input2)
NameError: name 'F' is not defined
"
"
 torch.nn.functional. ctc_loss ( log_probs ,  targets ,  input_lengths ,  target_lengths ,  blank ,  reduction ,  zero_infinity ) [source] ¶",">>> log_probs=torch.randn(50,16,20).log_softmax(2).detach().requires_grad_()
>>> targets=torch.randint(1,20,(16,30),dtype=torch.long)
>>> input_lengths=torch.full((16,),50,dtype=torch.long)
>>> target_lengths=torch.randint(10,30,(16,),dtype=torch.long)
>>> loss=F.ctc_loss(log_probs,targets,input_lengths,target_lengths)
>>> loss.backward()
","Traceback (most recent call last):
  File ""example.py"", line 6, in <module>
    loss=F.ctc_loss(log_probs,targets,input_lengths,target_lengths)
NameError: name 'F' is not defined
"
"
 torch.nn.functional. nll_loss ( input ,  target ,  weight ,  size_average ,  ignore_index ,  reduce ,  reduction ) [source] ¶",">>> # input is of size N x C = 3 x 5
>>> input=torch.randn(3,5,requires_grad=True)
>>> # each element in target has to have 0 <= value < C
>>> target=torch.tensor([1,0,4])
>>> output=F.nll_loss(F.log_softmax(input,dim=1),target)
>>> output.backward()
","Traceback (most recent call last):
  File ""example.py"", line 6, in <module>
    output=F.nll_loss(F.log_softmax(input,dim=1),target)
NameError: name 'F' is not defined
"
"
 Tensor. requires_grad_ ( requires_grad )   → ¶",">>> # Let's say we want to preprocess some saved weights and use
>>> # the result as new weights.
>>> saved_weights=[0.1,0.2,0.3,0.25]
>>> loaded_weights=torch.tensor(saved_weights)
>>> weights=preprocess(loaded_weights)# some function
>>> weights
tensor([-0.5503,  0.4926, -2.1158, -0.8303])>>> # Now, start to record operations done to weights
>>> weights.requires_grad_()
>>> out=weights.pow(2).sum()
>>> out.backward()
>>> weights.grad
tensor([-1.1007,  0.9853, -4.2316, -1.6606])
","Traceback (most recent call last):
  File ""example.py"", line 6, in <module>
    weights=preprocess(loaded_weights)# some function
NameError: name 'preprocess' is not defined
"
"
 Tensor. to ( * ,  ** )   → ¶",">>> tensor=torch.randn(2,2)# Initially dtype=float32, device=cpu
>>> tensor.to(torch.float64)
tensor([[-0.5044,  0.0005],
        [ 0.3310, -0.0584]], dtype=torch.float64)>>> cuda0=torch.device('cuda:0')
>>> tensor.to(cuda0)
tensor([[-0.5044,  0.0005],
        [ 0.3310, -0.0584]], device='cuda:0')>>> tensor.to(cuda0,dtype=torch.float64)
tensor([[-0.5044,  0.0005],
        [ 0.3310, -0.0584]], dtype=torch.float64, device='cuda:0')>>> other=torch.randn((),dtype=torch.float64,device=cuda0)
>>> tensor.to(other,non_blocking=True)
tensor([[-0.5044,  0.0005],
        [ 0.3310, -0.0584]], dtype=torch.float64, device='cuda:0')
","  File ""example.py"", line 4
    [ 0.3310, -0.0584]], dtype=torch.float64)cuda0=torch.device('cuda:0')
    ^
IndentationError: unexpected indent
"
"
 Tensor. put_ ( index ,  source ,  accumulate )   → ¶",">>> src=torch.tensor([[4,3,5],
... [6,7,8]])
>>> src.put_(torch.tensor([1,3]),torch.tensor([9,10]))
tensor([[  4,   9,   5],
        [ 10,   7,   8]])
","  File ""example.py"", line 4
    
                                                      ^
SyntaxError: unexpected EOF while parsing
"
"
 Tensor. register_hook ( hook ) [source] ¶",">>> v=torch.tensor([0.,0.,0.],requires_grad=True)
>>> h=v.register_hook(lambdagrad:grad*2)# double the gradient
>>> v.backward(torch.tensor([1.,2.,3.]))
>>> v.grad 2
 4
 6
[torch.FloatTensor of size (3,)]>>> h.remove()# removes the hook
","  File ""example.py"", line 3
    h=v.register_hook(lambdagrad:grad*2)# double the gradient
                                ^
SyntaxError: invalid syntax
"
"
 Tensor. sparse_mask ( mask )   → ¶",">>> nse=5
>>> dims=(5,5,2,2)
>>> I=torch.cat([torch.randint(0,dims[0],size=(nse,)),
... torch.randint(0,dims[1],size=(nse,))],0).reshape(2,nse)
>>> V=torch.randn(nse,dims[2],dims[3])
>>> S=torch.sparse_coo_tensor(I,V,dims).coalesce()
>>> D=torch.randn(dims)
>>> D.sparse_mask(S)
tensor(indices=tensor([[0, 0, 0, 2],
                       [0, 1, 4, 3]]),
       values=tensor([[[ 1.6550,  0.2397],
                       [-0.1611, -0.0779]],                      [[ 0.2326, -1.0558],
                       [ 1.4711,  1.9678]],                      [[-0.5138, -0.0411],
                       [ 1.9417,  0.5158]],                      [[ 0.0793,  0.0036],
                       [-0.2569, -0.1055]]]),
       size=(5, 5, 2, 2), nnz=4, layout=torch.sparse_coo)
","  File ""example.py"", line 5
    V=torch.randn(nse,dims[2],dims[3])
     ^
SyntaxError: invalid syntax
"
"
 Tensor. to_dense ( )   → ¶",">>> s=torch.sparse_coo_tensor(
... torch.tensor([[1,1],
... [0,2]]),
... torch.tensor([9,10]),
... size=(3,3))
>>> s.to_dense()
tensor([[ 0,  0,  0],
        [ 9,  0, 10],
        [ 0,  0,  0]])
","  File ""example.py"", line 4
    
                ^
SyntaxError: unexpected EOF while parsing
"
"
 Tensor. to_sparse_csr ( )   → ¶",">>> dense=torch.randn(5,5)
>>> sparse=dense.to_sparse_csr()
>>> sparse._nnz()
25
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    sparse=dense.to_sparse_csr()
AttributeError: 'Tensor' object has no attribute 'to_sparse_csr'
"
"
 Tensor. to_sparse_csc ( )   → ¶",">>> dense=torch.randn(5,5)
>>> sparse=dense.to_sparse_csc()
>>> sparse._nnz()
25
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    sparse=dense.to_sparse_csc()
AttributeError: 'Tensor' object has no attribute 'to_sparse_csc'
"
"
 Tensor. to_sparse_bsr ( blocksize )   → ¶",">>> dense=torch.randn(10,10)
>>> sparse=dense.to_sparse_csr()
>>> sparse_bsr=sparse.to_sparse_bsr((5,5))
>>> sparse_bsr.col_indices()
tensor([0, 1, 0, 1])
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    sparse=dense.to_sparse_csr()
AttributeError: 'Tensor' object has no attribute 'to_sparse_csr'
"
"
 Tensor. to_sparse_bsc ( blocksize )   → ¶",">>> dense=torch.randn(10,10)
>>> sparse=dense.to_sparse_csr()
>>> sparse_bsc=sparse.to_sparse_bsc((5,5))
>>> sparse_bsc.row_indices()
tensor([0, 1, 0, 1])
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    sparse=dense.to_sparse_csr()
AttributeError: 'Tensor' object has no attribute 'to_sparse_csr'
"
"
 Tensor. view ( * )   → ¶",">>> x=torch.randn(4,4)
>>> x.size()
torch.Size([4, 4])
>>> y=x.view(16)
>>> y.size()
torch.Size([16])
>>> z=x.view(-1,8)# the size -1 is inferred from other dimensions
>>> z.size()
torch.Size([2, 8])>>> a=torch.randn(1,2,3,4)
>>> a.size()
torch.Size([1, 2, 3, 4])
>>> b=a.transpose(1,2)# Swaps 2nd and 3rd dimension
>>> b.size()
torch.Size([1, 3, 2, 4])
>>> c=a.view(1,3,2,4)# Does not change tensor layout in memory
>>> c.size()
torch.Size([1, 3, 2, 4])
>>> torch.equal(b,c)
False
","  File ""example.py"", line 8
    torch.Size([2, 8])a=torch.randn(1,2,3,4)
                      ^
SyntaxError: invalid syntax
"
"
 class torch.autograd.forward_ad. dual_level [source] ¶",">>> x=torch.tensor([1])
>>> x_t=torch.tensor([1])
>>> withdual_level():
... inp=make_dual(x,x_t)
... # Do computations with inp
... out=your_fn(inp)
... _,grad=unpack_dual(out)
>>> gradisNone
False
>>> # After exiting the level, the grad is deleted
>>> _,grad_after=unpack_dual(out)
>>> gradisNone
True
","  File ""example.py"", line 4
    withdual_level():
                    ^
SyntaxError: invalid syntax
"
"
 torch.autograd.forward_ad. make_dual ( tensor ,  tangent ,  * ,  level ) [source] ¶",">>> withdual_level():
... inp=make_dual(x,v)
... out=f(inp)
... y,jvp=unpack_dual(out)
","  File ""example.py"", line 2
    withdual_level():
                    ^
SyntaxError: invalid syntax
"
"
 torch.autograd.forward_ad. unpack_dual ( tensor ,  * ,  level ) [source] ¶",">>> withdual_level():
... inp=make_dual(x,x_t)
... out=f(inp)
... y,jvp=unpack_dual(out)
... jvp=unpack_dual(out).tangent
","  File ""example.py"", line 2
    withdual_level():
                    ^
SyntaxError: invalid syntax
"
"
 torch.linalg. vander ( x ,  N )   → ¶",">>> x=torch.tensor([1,2,3,5])
>>> linalg.vander(x)
tensor([[  1,   1,   1,   1],
        [  1,   2,   4,   8],
        [  1,   3,   9,  27],
        [  1,   5,  25, 125]])
>>> linalg.vander(x,N=3)
tensor([[ 1,  1,  1],
        [ 1,  2,  4],
        [ 1,  3,  9],
        [ 1,  5, 25]])
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    linalg.vander(x)
NameError: name 'linalg' is not defined
"
"
 torch.sparse. sum ( input ,  dim ,  dtype ) [source] ¶",">>> nnz=3
>>> dims=[5,5,2,3]
>>> I=torch.cat([torch.randint(0,dims[0],size=(nnz,)),
                   torch.randint(0, dims[1], size=(nnz,))], 0).reshape(2, nnz)
>>> V=torch.randn(nnz,dims[2],dims[3])
>>> size=torch.Size(dims)
>>> S=torch.sparse_coo_tensor(I,V,size)
>>> S
tensor(indices=tensor([[2, 0, 3],
                       [2, 4, 1]]),
       values=tensor([[[-0.6438, -1.6467,  1.4004],
                       [ 0.3411,  0.0918, -0.2312]],                      [[ 0.5348,  0.0634, -2.0494],
                       [-0.7125, -1.0646,  2.1844]],                      [[ 0.1276,  0.1874, -0.6334],
                       [-1.9682, -0.5340,  0.7483]]]),
       size=(5, 5, 2, 3), nnz=3, layout=torch.sparse_coo)# when sum over only part of sparse_dims, return a sparse tensor
>>> torch.sparse.sum(S,[1,3])
tensor(indices=tensor([[0, 2, 3]]),
       values=tensor([[-1.4512,  0.4073],
                      [-0.8901,  0.2017],
                      [-0.3183, -1.7539]]),
       size=(5, 2), nnz=3, layout=torch.sparse_coo)# when sum over all sparse dim, return a dense tensor
# with summed dims squeezed
>>> torch.sparse.sum(S,[0,1,3])
tensor([-2.6596, -1.1450])
","  File ""example.py"", line 5
    V=torch.randn(nnz,dims[2],dims[3])
     ^
SyntaxError: invalid syntax
"
