Raw_API,Full_API,Description
tf.keras.regularizers.serialize,"tf.keras.regularizers.serialize(
    regularizer
)
",View aliases
tf.keras.utils.custom_object_scope,"tf.keras.utils.custom_object_scope(
    *args
)
",Exposes custom classes/functions to Keras deserialization internals.View aliases
tf.compat.v1.keras.utils.DeterministicRandomTestTool,"tf.compat.v1.keras.utils.DeterministicRandomTestTool(
    seed: int = 42, mode='constant'
)
",DeterministicRandomTestTool is a testing tool.
tf.keras.utils.GeneratorEnqueuer,"tf.keras.utils.GeneratorEnqueuer(
    generator, use_multiprocessing=False, random_seed=None
)
",Builds a queue out of a data generator.Inherits From: SequenceEnqueuerView aliases
tf.keras.utils.OrderedEnqueuer,"tf.keras.utils.OrderedEnqueuer(
    sequence, use_multiprocessing=False, shuffle=False
)
",Builds a Enqueuer from a Sequence.Inherits From: SequenceEnqueuerView aliases
tf.keras.utils.Progbar,"tf.keras.utils.Progbar(
    target,
    width=30,
    verbose=1,
    interval=0.05,
    stateful_metrics=None,
    unit_name='step'
)
",Displays a progress bar.View aliases
tf.keras.utils.SequenceEnqueuer,"tf.keras.utils.SequenceEnqueuer(
    sequence, use_multiprocessing=False
)
",Base class to enqueue inputs.View aliases
tf.keras.utils.array_to_img,"tf.keras.utils.array_to_img(
    x, data_format=None, scale=True, dtype=None
)
",Converts a 3D Numpy array to a PIL Image instance.View aliases
tf.keras.utils.custom_object_scope,"tf.keras.utils.custom_object_scope(
    *args
)
",Exposes custom classes/functions to Keras deserialization internals.View aliases
tf.keras.utils.deserialize_keras_object,"tf.keras.utils.deserialize_keras_object(
    identifier,
    module_objects=None,
    custom_objects=None,
    printable_module_name='object'
)
",Turns the serialized form of a Keras object back into an actual object.View aliases
tf.keras.utils.get_file,"tf.keras.utils.get_file(
    fname=None,
    origin=None,
    untar=False,
    md5_hash=None,
    file_hash=None,
    cache_subdir='datasets',
    hash_algorithm='auto',
    extract=False,
    archive_format='auto',
    cache_dir=None
)
",Downloads a file from a URL if it not already in the cache.View aliases
tf.compat.v1.keras.utils.get_or_create_layer,"tf.compat.v1.keras.utils.get_or_create_layer(
    name, create_layer_method
)
",Use this method to track nested keras models in a shim-decorated method.
tf.keras.utils.get_registered_name,"tf.keras.utils.get_registered_name(
    obj
)
",Returns the name registered to an object within the Keras framework.View aliases
tf.keras.utils.get_registered_object,"tf.keras.utils.get_registered_object(
    name, custom_objects=None, module_objects=None
)
",Returns the class associated with name if it is registered with Keras.View aliases
tf.keras.utils.get_source_inputs,"tf.keras.utils.get_source_inputs(
    tensor, layer=None, node_index=None
)
",Returns the list of input tensors necessary to compute tensor.View aliases
tf.keras.utils.img_to_array,"tf.keras.utils.img_to_array(
    img, data_format=None, dtype=None
)
",Converts a PIL Image instance to a Numpy array.View aliases
tf.keras.utils.load_img,"tf.keras.utils.load_img(
    path,
    grayscale=False,
    color_mode='rgb',
    target_size=None,
    interpolation='nearest',
    keep_aspect_ratio=False
)
",Loads an image into PIL format.View aliases
tf.keras.utils.model_to_dot,"tf.keras.utils.model_to_dot(
    model,
    show_shapes=False,
    show_dtype=False,
    show_layer_names=True,
    rankdir='TB',
    expand_nested=False,
    dpi=96,
    subgraph=False,
    layer_range=None,
    show_layer_activations=False
)
",Convert a Keras model to dot format.View aliases
tf.keras.utils.normalize,"tf.keras.utils.normalize(
    x, axis=-1, order=2
)
",Normalizes a Numpy array.View aliases
tf.keras.utils.pad_sequences,"tf.keras.utils.pad_sequences(
    sequences,
    maxlen=None,
    dtype='int32',
    padding='pre',
    truncating='pre',
    value=0.0
)
",Pads sequences to the same length.View aliases
tf.keras.utils.plot_model,"tf.keras.utils.plot_model(
    model,
    to_file='model.png',
    show_shapes=False,
    show_dtype=False,
    show_layer_names=True,
    rankdir='TB',
    expand_nested=False,
    dpi=96,
    layer_range=None,
    show_layer_activations=False
)
",Converts a Keras model to dot format and save to a file.View aliases
tf.keras.utils.register_keras_serializable,"tf.keras.utils.register_keras_serializable(
    package='Custom', name=None
)
",Registers an object with the Keras serialization framework.View aliases
tf.keras.utils.save_img,"tf.keras.utils.save_img(
    path, x, data_format=None, file_format=None, scale=True, **kwargs
)
",Saves an image stored as a Numpy array to a path or file object.View aliases
tf.keras.utils.serialize_keras_object,"tf.keras.utils.serialize_keras_object(
    instance
)
",Serialize a Keras object into a JSON-compatible representation.View aliases
tf.keras.utils.to_categorical,"tf.keras.utils.to_categorical(
    y, num_classes=None, dtype='float32'
)
",Converts a class vector (integers) to binary class matrix.View aliases
tf.compat.v1.keras.utils.track_tf1_style_variables,"tf.compat.v1.keras.utils.track_tf1_style_variables(
    method
)
",Wrap layer & module methods in this decorator to capture tf1-style
tf.compat.v1.layers.AveragePooling1D,"tf.compat.v1.layers.AveragePooling1D(
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None,
    **kwargs
)
","Average Pooling layer for 1D inputs.Inherits From: AveragePooling1D, Layer, Layer, Module"
tf.compat.v1.layers.AveragePooling2D,"tf.compat.v1.layers.AveragePooling2D(
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None,
    **kwargs
)
","Average pooling layer for 2D inputs (e.g. images).Inherits From: AveragePooling2D, Layer, Layer, Module"
tf.compat.v1.layers.AveragePooling3D,"tf.compat.v1.layers.AveragePooling3D(
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None,
    **kwargs
)
","Average pooling layer for 3D inputs (e.g. volumes).Inherits From: AveragePooling3D, Layer, Layer, Module"
tf.compat.v1.layers.BatchNormalization,"tf.compat.v1.layers.BatchNormalization(
    axis=-1,
    momentum=0.99,
    epsilon=0.001,
    center=True,
    scale=True,
    beta_initializer=tf.compat.v1.zeros_initializer(),
    gamma_initializer=tf.compat.v1.ones_initializer(),
    moving_mean_initializer=tf.compat.v1.zeros_initializer(),
    moving_variance_initializer=tf.compat.v1.ones_initializer(),
    beta_regularizer=None,
    gamma_regularizer=None,
    beta_constraint=None,
    gamma_constraint=None,
    renorm=False,
    renorm_clipping=None,
    renorm_momentum=0.99,
    fused=None,
    trainable=True,
    virtual_batch_size=None,
    adjustment=None,
    name=None,
    **kwargs
)
","Batch Normalization layer from (Ioffe et al., 2015).Inherits From: BatchNormalization, Layer, Layer, Module"
tf.compat.v1.layers.Conv1D,"tf.compat.v1.layers.Conv1D(
    filters,
    kernel_size,
    strides=1,
    padding='valid',
    data_format='channels_last',
    dilation_rate=1,
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    **kwargs
)
","1D convolution layer (e.g. temporal convolution).Inherits From: Conv1D, Layer, Layer, Module"
tf.compat.v1.layers.Conv2D,"tf.compat.v1.layers.Conv2D(
    filters,
    kernel_size,
    strides=(1, 1),
    padding='valid',
    data_format='channels_last',
    dilation_rate=(1, 1),
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    **kwargs
)
","2D convolution layer (e.g. spatial convolution over images).Inherits From: Conv2D, Layer, Layer, Module"
tf.compat.v1.layers.Conv2DTranspose,"tf.compat.v1.layers.Conv2DTranspose(
    filters,
    kernel_size,
    strides=(1, 1),
    padding='valid',
    data_format='channels_last',
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    **kwargs
)
","Transposed 2D convolution layer (sometimes called 2D Deconvolution).Inherits From: Conv2DTranspose, Conv2D, Layer, Layer, Module"
tf.compat.v1.layers.Conv3D,"tf.compat.v1.layers.Conv3D(
    filters,
    kernel_size,
    strides=(1, 1, 1),
    padding='valid',
    data_format='channels_last',
    dilation_rate=(1, 1, 1),
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    **kwargs
)
","3D convolution layer (e.g. spatial convolution over volumes).Inherits From: Conv3D, Layer, Layer, Module"
tf.compat.v1.layers.Conv3DTranspose,"tf.compat.v1.layers.Conv3DTranspose(
    filters,
    kernel_size,
    strides=(1, 1, 1),
    padding='valid',
    data_format='channels_last',
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    **kwargs
)
","Transposed 3D convolution layer (sometimes called 3D Deconvolution).Inherits From: Conv3DTranspose, Conv3D, Layer, Layer, Module"
tf.compat.v1.layers.Dense,"tf.compat.v1.layers.Dense(
    units,
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    **kwargs
)
","Densely-connected layer class.Inherits From: Dense, Layer, Layer, Module"
tf.compat.v1.layers.Dropout,"tf.compat.v1.layers.Dropout(
    rate=0.5, noise_shape=None, seed=None, name=None, **kwargs
)
","Applies Dropout to the input.Inherits From: Dropout, Layer, Layer, Module"
tf.compat.v1.layers.Flatten,"tf.compat.v1.layers.Flatten(
    data_format=None, **kwargs
)
","Flattens an input tensor while preserving the batch axis (axis 0).Inherits From: Flatten, Layer, Layer, Module"
tf.keras.layers.InputSpec,"tf.keras.layers.InputSpec(
    dtype=None,
    shape=None,
    ndim=None,
    max_ndim=None,
    min_ndim=None,
    axes=None,
    allow_last_axis_squeeze=False,
    name=None
)
","Specifies the rank, dtype and shape of every input to a layer.View aliases"
tf.compat.v1.layers.Layer,"tf.compat.v1.layers.Layer(
    trainable=True, name=None, dtype=None, **kwargs
)
","Base layer class.Inherits From: Layer, Module"
tf.compat.v1.layers.MaxPooling1D,"tf.compat.v1.layers.MaxPooling1D(
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None,
    **kwargs
)
","Max Pooling layer for 1D inputs.Inherits From: MaxPool1D, Layer, Layer, Module"
tf.compat.v1.layers.MaxPooling2D,"tf.compat.v1.layers.MaxPooling2D(
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None,
    **kwargs
)
","Max pooling layer for 2D inputs (e.g. images).Inherits From: MaxPool2D, Layer, Layer, Module"
tf.compat.v1.layers.MaxPooling3D,"tf.compat.v1.layers.MaxPooling3D(
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None,
    **kwargs
)
","Max pooling layer for 3D inputs (e.g. volumes).Inherits From: MaxPool3D, Layer, Layer, Module"
tf.compat.v1.layers.SeparableConv1D,"tf.compat.v1.layers.SeparableConv1D(
    filters,
    kernel_size,
    strides=1,
    padding='valid',
    data_format='channels_last',
    dilation_rate=1,
    depth_multiplier=1,
    activation=None,
    use_bias=True,
    depthwise_initializer=None,
    pointwise_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    depthwise_regularizer=None,
    pointwise_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    depthwise_constraint=None,
    pointwise_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    **kwargs
)
","Depthwise separable 1D convolution.Inherits From: SeparableConv1D, Layer, Layer, Module"
tf.compat.v1.layers.SeparableConv2D,"tf.compat.v1.layers.SeparableConv2D(
    filters,
    kernel_size,
    strides=(1, 1),
    padding='valid',
    data_format='channels_last',
    dilation_rate=(1, 1),
    depth_multiplier=1,
    activation=None,
    use_bias=True,
    depthwise_initializer=None,
    pointwise_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    depthwise_regularizer=None,
    pointwise_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    depthwise_constraint=None,
    pointwise_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    **kwargs
)
","Depthwise separable 2D convolution.Inherits From: SeparableConv2D, Layer, Layer, Module"
tf.compat.v1.layers.average_pooling1d,"tf.compat.v1.layers.average_pooling1d(
    inputs,
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None
)
",Average Pooling layer for 1D inputs.
tf.compat.v1.layers.average_pooling2d,"tf.compat.v1.layers.average_pooling2d(
    inputs,
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None
)
",Average pooling layer for 2D inputs (e.g. images).
tf.compat.v1.layers.average_pooling3d,"tf.compat.v1.layers.average_pooling3d(
    inputs,
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None
)
",Average pooling layer for 3D inputs (e.g. volumes).
tf.compat.v1.layers.batch_normalization,"tf.compat.v1.layers.batch_normalization(
    inputs,
    axis=-1,
    momentum=0.99,
    epsilon=0.001,
    center=True,
    scale=True,
    beta_initializer=tf.compat.v1.zeros_initializer(),
    gamma_initializer=tf.compat.v1.ones_initializer(),
    moving_mean_initializer=tf.compat.v1.zeros_initializer(),
    moving_variance_initializer=tf.compat.v1.ones_initializer(),
    beta_regularizer=None,
    gamma_regularizer=None,
    beta_constraint=None,
    gamma_constraint=None,
    training=False,
    trainable=True,
    name=None,
    reuse=None,
    renorm=False,
    renorm_clipping=None,
    renorm_momentum=0.99,
    fused=None,
    virtual_batch_size=None,
    adjustment=None
)
",Functional interface for the batch normalization layer from_config(Ioffe
tf.compat.v1.layers.conv1d,"tf.compat.v1.layers.conv1d(
    inputs,
    filters,
    kernel_size,
    strides=1,
    padding='valid',
    data_format='channels_last',
    dilation_rate=1,
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    reuse=None
)
",Functional interface for 1D convolution layer (e.g. temporal convolution).
tf.compat.v1.layers.conv2d,"tf.compat.v1.layers.conv2d(
    inputs,
    filters,
    kernel_size,
    strides=(1, 1),
    padding='valid',
    data_format='channels_last',
    dilation_rate=(1, 1),
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    reuse=None
)
",Functional interface for the 2D convolution layer.
tf.compat.v1.layers.conv2d_transpose,"tf.compat.v1.layers.conv2d_transpose(
    inputs,
    filters,
    kernel_size,
    strides=(1, 1),
    padding='valid',
    data_format='channels_last',
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    reuse=None
)
",Functional interface for transposed 2D convolution layer.
tf.compat.v1.layers.conv3d,"tf.compat.v1.layers.conv3d(
    inputs,
    filters,
    kernel_size,
    strides=(1, 1, 1),
    padding='valid',
    data_format='channels_last',
    dilation_rate=(1, 1, 1),
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    reuse=None
)
",Functional interface for the 3D convolution layer.
tf.compat.v1.layers.conv3d_transpose,"tf.compat.v1.layers.conv3d_transpose(
    inputs,
    filters,
    kernel_size,
    strides=(1, 1, 1),
    padding='valid',
    data_format='channels_last',
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    reuse=None
)
",Functional interface for transposed 3D convolution layer.
tf.compat.v1.layers.dense,"tf.compat.v1.layers.dense(
    inputs,
    units,
    activation=None,
    use_bias=True,
    kernel_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    kernel_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    kernel_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    reuse=None
)
",Functional interface for the densely-connected layer.
tf.compat.v1.layers.dropout,"tf.compat.v1.layers.dropout(
    inputs, rate=0.5, noise_shape=None, seed=None, training=False, name=None
)
",Applies Dropout to the input.
tf.compat.v1.layers.flatten,"tf.compat.v1.layers.flatten(
    inputs, name=None, data_format='channels_last'
)
",Flattens an input tensor while preserving the batch axis (axis 0).
tf.compat.v1.layers.max_pooling1d,"tf.compat.v1.layers.max_pooling1d(
    inputs,
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None
)
",Max Pooling layer for 1D inputs.
tf.compat.v1.layers.max_pooling2d,"tf.compat.v1.layers.max_pooling2d(
    inputs,
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None
)
",Max pooling layer for 2D inputs (e.g. images).
tf.compat.v1.layers.max_pooling3d,"tf.compat.v1.layers.max_pooling3d(
    inputs,
    pool_size,
    strides,
    padding='valid',
    data_format='channels_last',
    name=None
)
",Max pooling layer for 3D inputs (e.g.
tf.compat.v1.layers.separable_conv1d,"tf.compat.v1.layers.separable_conv1d(
    inputs,
    filters,
    kernel_size,
    strides=1,
    padding='valid',
    data_format='channels_last',
    dilation_rate=1,
    depth_multiplier=1,
    activation=None,
    use_bias=True,
    depthwise_initializer=None,
    pointwise_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    depthwise_regularizer=None,
    pointwise_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    depthwise_constraint=None,
    pointwise_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    reuse=None
)
",Functional interface for the depthwise separable 1D convolution layer.
tf.compat.v1.layers.separable_conv2d,"tf.compat.v1.layers.separable_conv2d(
    inputs,
    filters,
    kernel_size,
    strides=(1, 1),
    padding='valid',
    data_format='channels_last',
    dilation_rate=(1, 1),
    depth_multiplier=1,
    activation=None,
    use_bias=True,
    depthwise_initializer=None,
    pointwise_initializer=None,
    bias_initializer=tf.compat.v1.zeros_initializer(),
    depthwise_regularizer=None,
    pointwise_regularizer=None,
    bias_regularizer=None,
    activity_regularizer=None,
    depthwise_constraint=None,
    pointwise_constraint=None,
    bias_constraint=None,
    trainable=True,
    name=None,
    reuse=None
)
",Functional interface for the depthwise separable 2D convolution layer.
tf.math.lbeta,"tf.math.lbeta(
    x, name=None
)
","Computes \(ln(|Beta(x)|)\), reducing along the last dimension.View aliases"
tf.math.less,"tf.math.less(
    x, y, name=None
)
",Returns the truth value of (x < y) element-wise.View aliases
tf.math.less_equal,"tf.math.less_equal(
    x, y, name=None
)
",Returns the truth value of (x <= y) element-wise.View aliases
tf.math.lgamma,"tf.math.lgamma(
    x, name=None
)
",Computes the log of the absolute value of Gamma(x) element-wise.View aliases
tf.linspace,"tf.linspace(
    start, stop, num, name=None, axis=0
)
",Generates evenly-spaced values in an interval along a given axis.View aliases
tf.linalg.LinearOperator,"tf.linalg.LinearOperator(
    dtype,
    graph_parents=None,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name=None,
    parameters=None
)
",Base class defining a [batch of] linear operator[s].Inherits From: ModuleView aliases
tf.linalg.LinearOperatorAdjoint,"tf.linalg.LinearOperatorAdjoint(
    operator,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name=None
)
","LinearOperator representing the adjoint of another operator.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorBlockDiag,"tf.linalg.LinearOperatorBlockDiag(
    operators,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=True,
    name=None
)
","Combines one or more LinearOperators in to a Block Diagonal matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorBlockLowerTriangular,"tf.linalg.LinearOperatorBlockLowerTriangular(
    operators,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name='LinearOperatorBlockLowerTriangular'
)
","Combines LinearOperators into a blockwise lower-triangular matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorCirculant,"tf.linalg.LinearOperatorCirculant(
    spectrum,
    input_output_dtype=tf.dtypes.complex64,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=True,
    name='LinearOperatorCirculant'
)
","LinearOperator acting like a circulant matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorCirculant2D,"tf.linalg.LinearOperatorCirculant2D(
    spectrum,
    input_output_dtype=tf.dtypes.complex64,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=True,
    name='LinearOperatorCirculant2D'
)
","LinearOperator acting like a block circulant matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorCirculant3D,"tf.linalg.LinearOperatorCirculant3D(
    spectrum,
    input_output_dtype=tf.dtypes.complex64,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=True,
    name='LinearOperatorCirculant3D'
)
","LinearOperator acting like a nested block circulant matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorComposition,"tf.linalg.LinearOperatorComposition(
    operators,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name=None
)
","Composes one or more LinearOperators.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorDiag,"tf.linalg.LinearOperatorDiag(
    diag,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name='LinearOperatorDiag'
)
","LinearOperator acting like a [batch] square diagonal matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorFullMatrix,"tf.linalg.LinearOperatorFullMatrix(
    matrix,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name='LinearOperatorFullMatrix'
)
","LinearOperator that wraps a [batch] matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorHouseholder,"tf.linalg.LinearOperatorHouseholder(
    reflection_axis,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name='LinearOperatorHouseholder'
)
","LinearOperator acting like a [batch] of Householder transformations.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorIdentity,"tf.linalg.LinearOperatorIdentity(
    num_rows,
    batch_shape=None,
    dtype=None,
    is_non_singular=True,
    is_self_adjoint=True,
    is_positive_definite=True,
    is_square=True,
    assert_proper_shapes=False,
    name='LinearOperatorIdentity'
)
","LinearOperator acting like a [batch] square identity matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorInversion,"tf.linalg.LinearOperatorInversion(
    operator,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name=None
)
","LinearOperator representing the inverse of another operator.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorKronecker,"tf.linalg.LinearOperatorKronecker(
    operators,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name=None
)
","Kronecker product between two LinearOperators.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorLowRankUpdate,"tf.linalg.LinearOperatorLowRankUpdate(
    base_operator,
    u,
    diag_update=None,
    v=None,
    is_diag_update_positive=None,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name='LinearOperatorLowRankUpdate'
)
","Perturb a LinearOperator with a rank K update.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorLowerTriangular,"tf.linalg.LinearOperatorLowerTriangular(
    tril,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name='LinearOperatorLowerTriangular'
)
","LinearOperator acting like a [batch] square lower triangular matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorPermutation,"tf.linalg.LinearOperatorPermutation(
    perm,
    dtype=tf.dtypes.float32,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name='LinearOperatorPermutation'
)
","LinearOperator acting like a [batch] of permutation matrices.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorScaledIdentity,"tf.linalg.LinearOperatorScaledIdentity(
    num_rows,
    multiplier,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=True,
    assert_proper_shapes=False,
    name='LinearOperatorScaledIdentity'
)
","LinearOperator acting like a scaled [batch] identity matrix A = c I.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorToeplitz,"tf.linalg.LinearOperatorToeplitz(
    col,
    row,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name='LinearOperatorToeplitz'
)
","LinearOperator acting like a [batch] of toeplitz matrices.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorTridiag,"tf.linalg.LinearOperatorTridiag(
    diagonals,
    diagonals_format=_COMPACT,
    is_non_singular=None,
    is_self_adjoint=None,
    is_positive_definite=None,
    is_square=None,
    name='LinearOperatorTridiag'
)
","LinearOperator acting like a [batch] square tridiagonal matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.LinearOperatorZeros,"tf.linalg.LinearOperatorZeros(
    num_rows,
    num_columns=None,
    batch_shape=None,
    dtype=None,
    is_non_singular=False,
    is_self_adjoint=True,
    is_positive_definite=False,
    is_square=True,
    assert_proper_shapes=False,
    name='LinearOperatorZeros'
)
","LinearOperator acting like a [batch] zero matrix.Inherits From: LinearOperator, ModuleView aliases"
tf.linalg.adjoint,"tf.linalg.adjoint(
    matrix, name=None
)
",Transposes the last two dimensions of and conjugates tensor matrix.View aliases
tf.linalg.band_part,"tf.linalg.band_part(
    input, num_lower, num_upper, name=None
)
",Copy a tensor setting everything outside a central band in each innermost matrix to zero.View aliases
tf.linalg.cholesky,"tf.linalg.cholesky(
    input, name=None
)
",Computes the Cholesky decomposition of one or more square matrices.View aliases
tf.linalg.cholesky_solve,"tf.linalg.cholesky_solve(
    chol, rhs, name=None
)
","Solves systems of linear eqns A X = RHS, given Cholesky factorizations.View aliases"
tf.linalg.cross,"tf.linalg.cross(
    a, b, name=None
)
",Compute the pairwise cross product.View aliases
tf.linalg.det,"tf.linalg.det(
    input, name=None
)
",Computes the determinant of one or more square matrices.View aliases
tf.linalg.diag,"tf.linalg.diag(
    diagonal,
    name='diag',
    k=0,
    num_rows=-1,
    num_cols=-1,
    padding_value=0,
    align='RIGHT_LEFT'
)
",Returns a batched diagonal tensor with given batched diagonal values.View aliases
tf.linalg.diag_part,"tf.linalg.diag_part(
    input,
    name='diag_part',
    k=0,
    padding_value=0,
    align='RIGHT_LEFT'
)
",Returns the batched diagonal part of a batched tensor.View aliases
tf.linalg.eigh,"tf.linalg.eigh(
    tensor, name=None
)
",Computes the eigen decomposition of a batch of self-adjoint matrices.View aliases
